Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed Assembly Committee,Passed Assembly Committee,Failed Assembly,Passed Assembly,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To Governor,Veto,Became Law
ACR 2,Assembly concurrent resolution,"To proclaim January 13, 2021 as Korean American Day.",Holidays,12/7/20,Asm. Sharon Quirk-Silva (D-Fullerton),,Rules,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220ACR2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Introduced by,Principal coauthors,Coauthors,,,,,,,,,,,,,,,,,,,
Assembly Members Quirk-Silva and Choi,,"Assembly Members Aguiar-Curry, Arambula, Bauer-Kahan, Bennett, Berman, Bigelow, Bloom, Boerner Horvath, Bonta, Burke, Calderon, Carrillo, Chau, Chiu, Cooley, Cooper, Cunningham, Megan Dahle, Daly, Davies, Flora, Fong, Friedman, Gallagher, Eduardo Garcia, Gipson, Lorena Gonzalez, Gray, Grayson, Holden, Irwin, Jones-Sawyer, Kalra, Kiley, Lackey, Lee, Levine, Low, Maienschein, Mathis, Mayes, McCarty, Medina, Mullin, Muratsuchi, Nguyen, Oâ€™Donnell, Petrie-Norris, Ramos, Rendon, Reyes, Luz Rivas, Robert Rivas, Rodriguez, Blanca Rubio, Santiago, Seyarto, Smith, Stone, Ting, Valladares, Villapudua, Voepel, Waldron, Ward, and Wood",,,,,,,,,,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,
12/7/20,Introduced and sent to print.,,,,,,,,,,,,,,,,,,,,
12/8/20,Received from the printer.,,,,,,,,,,,,,,,,,,,,
1/11/21,Referred to the Assembly Rules Committee.,,,,,,,,,,,,,,,,,,,,
1/11/21,Coauthors revised.,,,,,,,,,,,,,,,,,,,,
1/11/21,Rules Committee votes 11-0 to adopt the bill.,,,,,,,,,,,,,,,,,,,,
1/15/21,Coauthors revised.,,,,,,,,,,,,,,,,,,,,
1/15/21,Passed Assembly and sent to Senate.,,,,,,,,,,,,,,,,,,,,